"all.data.peaks.deseq2_LamBKO.seqnames"	"all.data.peaks.deseq2_LamBKO.start"	"all.data.peaks.deseq2_LamBKO.end"	"all.data.peaks.deseq2_LamBKO.width"	"all.data.peaks.deseq2_LamBKO.strand"	"all.data.peaks.deseq2_LamBKO.Conc"	"all.data.peaks.deseq2_LamBKO.Conc_Group1"	"all.data.peaks.deseq2_LamBKO.Conc_Group2"	"all.data.peaks.deseq2_LamBKO.Fold"	"all.data.peaks.deseq2_LamBKO.p.value"	"all.data.peaks.deseq2_LamBKO.FDR"	"all.data.peaks.deseq2_LamBKO.peak"	"all.data.peaks.deseq2_LamBKO.feature"	"all.data.peaks.deseq2_LamBKO.start_position"	"all.data.peaks.deseq2_LamBKO.end_position"	"all.data.peaks.deseq2_LamBKO.feature_strand"	"all.data.peaks.deseq2_LamBKO.insideFeature"	"all.data.peaks.deseq2_LamBKO.distancetoFeature"	"all.data.peaks.deseq2_LamBKO.shortestDistance"	"all.data.peaks.deseq2_LamBKO.fromOverlappingOrNearest"	"all.data.peaks.deseq2_LamBKO.symbol"	"all.data.peaks.deseq2_LamBKO.genename"
"chrX"	4554127	4554327	201	"*"	6.49	6.61	6.41	0.2	0.303	0.655	"10783"	"FBgn0029715"	4553117	4554398	"-"	"inside"	271	71	"NearestLocation"	"CG11444"	"uncharacterized protein"
"chrX"	19492262	19492462	201	"*"	5.6	5.75	5.5	0.25	0.303	0.655	"12368"	"FBgn0031021"	19492421	19493337	"+"	"overlapStart"	-159	41	"NearestLocation"	"ND-18"	"NADH dehydrogenase (ubiquinone) 18 kDa subunit"
"chr3R"	27555078	27555278	201	"*"	3.89	4.13	3.72	0.41	0.303	0.655	"9775"	"FBgn0004387"	27547775	27559145	"-"	"inside"	4067	3867	"NearestLocation"	"Klp98A"	"Kinesin-like protein at 98A"
"chr3L"	8570050	8570250	201	"*"	4.87	5.07	4.74	0.33	0.303	0.655	"5615"	"FBgn0264511"	8569335	8569864	"+"	"downstream"	715	186	"NearestLocation"	NA	NA
"chr3L"	561048	561248	201	"*"	4.79	4.96	4.67	0.29	0.303	0.655	"4740"	"FBgn0267458"	553216	553739	"+"	"downstream"	7832	7309	"NearestLocation"	NA	NA
"chr2R"	6675751	6675951	201	"*"	5.09	5.29	4.95	0.34	0.303	0.655	"2384"	"FBgn0033092"	6675822	6693162	"+"	"overlapStart"	-71	71	"NearestLocation"	"Rpp25"	"Ribonuclease P/MRP subunit p25"
"chr3L"	16153524	16153724	201	"*"	5.21	5.02	5.32	-0.3	0.303	0.655	"6468"	"FBgn0052152"	16139501	16144036	"-"	"upstream"	-9488	9488	"NearestLocation"	"CG32152"	"uncharacterized protein"
"chr3R"	18166388	18166588	201	"*"	6.35	6.47	6.27	0.2	0.303	0.655	"8768"	"FBgn0038570"	18165442	18167273	"-"	"inside"	885	685	"NearestLocation"	"Prx5"	"Peroxiredoxin 5"
"chr3R"	18166388	18166588	201	"*"	6.35	6.47	6.27	0.2	0.303	0.655	"8768"	"FBgn0038571"	18165442	18167273	"-"	"inside"	885	685	"NearestLocation"	"CG7215"	"uncharacterized protein"
"chr3L"	4413948	4414148	201	"*"	7.89	8	7.82	0.18	0.303	0.655	"5248"	"FBgn0035542"	4406943	4420648	"+"	"inside"	7005	6500	"NearestLocation"	"DOR"	"Diabetes and obesity regulated"
"chr2L"	7407708	7407908	201	"*"	4.83	5.04	4.69	0.35	0.303	0.655	"787"	"FBgn0031909"	7408533	7409809	"-"	"downstream"	2101	625	"NearestLocation"	"CG5181"	"uncharacterized protein"
"chr2L"	8703600	8703800	201	"*"	6.28	6.15	6.35	-0.2	0.303	0.655	"984"	"FBgn0266327"	8703475	8705450	"+"	"inside"	125	125	"NearestLocation"	NA	NA
"chr3L"	3194249	3194449	201	"*"	5.33	5.5	5.22	0.28	0.303	0.655	"5077"	"FBgn0001233"	3192969	3197059	"+"	"inside"	1280	1280	"NearestLocation"	"Hsp83"	"Heat shock protein 83"
"chr3R"	12350544	12350744	201	"*"	5.46	5.61	5.36	0.25	0.304	0.655	"8164"	"FBgn0038013"	12348987	12350644	"-"	"overlapStart"	100	100	"NearestLocation"	"CG10038"	"uncharacterized protein"
"chr3R"	19476740	19476940	201	"*"	4.53	4.71	4.42	0.29	0.304	0.655	"8909"	"FBgn0038708"	19461879	19463066	"-"	"upstream"	-13674	13674	"NearestLocation"	"Scsalpha2"	"Succinyl-coenzyme A synthetase alpha subunit 2"
"chr2L"	12056184	12056384	201	"*"	5.42	5.6	5.3	0.3	0.304	0.655	"1344"	"FBgn0085193"	12056348	12058251	"+"	"overlapStart"	-164	36	"NearestLocation"	"CG34164"	"uncharacterized protein"
"chr3L"	22070758	22070958	201	"*"	4.14	4.34	4	0.33	0.304	0.655	"7165"	"FBgn0027532"	22067270	22071848	"-"	"inside"	1090	890	"NearestLocation"	"CG7139"	"uncharacterized protein"
"chr2R"	24174742	24174942	201	"*"	5.75	5.92	5.63	0.29	0.304	0.655	"4539"	"FBgn0259937"	24174877	24186343	"+"	"overlapStart"	-135	65	"NearestLocation"	"Nop60B"	"Nucleolar protein at 60B"
"chr2L"	11182556	11182756	201	"*"	4.71	4.5	4.82	-0.32	0.304	0.655	"1289"	"FBgn0032354"	11179032	11180430	"+"	"downstream"	3524	2126	"NearestLocation"	"CG4788"	"uncharacterized protein"
"chr2R"	15817006	15817206	201	"*"	6.51	6.64	6.43	0.21	0.304	0.655	"3566"	"FBgn0265991"	15762565	15817004	"-"	"upstream"	-2	2	"NearestLocation"	"Zasp52"	"Z band alternatively spliced PDZ-motif protein 52"
"chr2R"	9092934	9093134	201	"*"	6.86	6.98	6.79	0.19	0.304	0.655	"2695"	"FBgn0033373"	9089774	9092893	"-"	"upstream"	-41	41	"NearestLocation"	"CG8080"	"uncharacterized protein"
"chrX"	14934664	14934864	201	"*"	3.12	3.39	2.93	0.46	0.304	0.655	"11852"	"FBgn0052591"	14927202	14928944	"-"	"upstream"	-5720	5720	"NearestLocation"	"CG32591"	"uncharacterized protein"
"chr3R"	30548393	30548593	201	"*"	4.41	4.62	4.26	0.35	0.304	0.655	"10059"	"FBgn0083991"	30554554	30560199	"-"	"downstream"	11806	5961	"NearestLocation"	"CG34155"	"uncharacterized protein"
"chr2R"	23712930	23713130	201	"*"	8.03	8.13	7.97	0.16	0.304	0.655	"4446"	"FBgn0034897"	23713900	23734846	"+"	"upstream"	-970	770	"NearestLocation"	"Sesn"	"Sestrin"
"chr2R"	23712930	23713130	201	"*"	8.03	8.13	7.97	0.16	0.304	0.655	"4446"	"FBgn0286932"	23713900	23733183	"+"	"upstream"	-970	770	"NearestLocation"	NA	NA
"chrX"	8398877	8399077	201	"*"	6.5	6.65	6.4	0.24	0.304	0.655	"11171"	"FBgn0030034"	8398940	8404516	"+"	"overlapStart"	-63	63	"NearestLocation"	"CG10555"	"uncharacterized protein"
"chr3R"	22528575	22528775	201	"*"	5.91	6.07	5.81	0.26	0.304	0.655	"9233"	"FBgn0038981"	22520087	22528663	"-"	"overlapStart"	88	88	"NearestLocation"	"CG5346"	"uncharacterized protein"
"chr3R"	8811588	8811788	201	"*"	5.21	5.39	5.09	0.3	0.304	0.655	"7766"	"FBgn0037635"	8807679	8813579	"-"	"inside"	1991	1791	"NearestLocation"	"CG9837"	"uncharacterized protein"
"chr3L"	4380442	4380642	201	"*"	5.07	5.26	4.93	0.33	0.304	0.655	"5242"	"FBgn0035538"	4367649	4380387	"-"	"upstream"	-55	55	"NearestLocation"	"DopEcR"	"Dopamine/Ecdysteroid receptor"
"chr2R"	11637569	11637769	201	"*"	5.93	6.08	5.82	0.26	0.304	0.655	"3044"	"FBgn0033638"	11619479	11640941	"-"	"inside"	3372	3172	"NearestLocation"	"CG9005"	"uncharacterized protein"
"chr3R"	14477522	14477722	201	"*"	5.69	5.82	5.6	0.22	0.305	0.655	"8396"	"FBgn0285955"	14391683	14481713	"-"	"inside"	4191	3991	"NearestLocation"	"cv-c"	"crossveinless c"
"chrX"	17143095	17143295	201	"*"	4.38	4.6	4.23	0.38	0.305	0.655	"12112"	"FBgn0002709"	17135985	17142990	"-"	"upstream"	-105	105	"NearestLocation"	"mei-218"	"meiotic 218"
"chrX"	17143095	17143295	201	"*"	4.38	4.6	4.23	0.38	0.305	0.655	"12112"	"FBgn0028581"	17136578	17142990	"-"	"upstream"	-105	105	"NearestLocation"	"mei-217"	"mei-217"
"chr3L"	21974647	21974847	201	"*"	4.69	4.88	4.57	0.3	0.305	0.655	"7157"	"FBgn0037146"	21972002	21984606	"+"	"inside"	2645	2645	"NearestLocation"	"CG7470"	"uncharacterized protein"
"chr3L"	21304530	21304730	201	"*"	5.48	5.65	5.37	0.28	0.305	0.655	"7081"	"FBgn0037071"	21304697	21306197	"+"	"overlapStart"	-167	33	"NearestLocation"	"CG7632"	"uncharacterized protein"
"chr2L"	20794082	20794282	201	"*"	7.57	7.68	7.5	0.19	0.305	0.655	"2083"	"FBgn0264995"	20794806	20795255	"+"	"upstream"	-724	524	"NearestLocation"	NA	NA
"chr2L"	246783	246983	201	"*"	6.48	6.6	6.4	0.2	0.305	0.655	"34"	"FBgn0265149"	248909	249812	"+"	"upstream"	-2126	1926	"NearestLocation"	NA	NA
"chr4"	43694	43894	201	"*"	6.24	6.37	6.16	0.21	0.305	0.655	"10192"	"FBgn0025740"	32478	43778	"-"	"overlapStart"	84	84	"NearestLocation"	"PlexB"	"Plexin B"
"chrX"	22473571	22473771	201	"*"	4.99	5.17	4.88	0.3	0.305	0.655	"12542"	"FBgn0031189"	22473698	22474998	"+"	"overlapStart"	-127	73	"NearestLocation"	"CG14618"	"uncharacterized protein"
"chr3L"	17841210	17841410	201	"*"	7.53	7.64	7.45	0.19	0.305	0.655	"6675"	"FBgn0036759"	17838650	17841427	"-"	"inside"	217	17	"NearestLocation"	"CG5577"	"uncharacterized protein"
"chr2R"	17638532	17638732	201	"*"	4.1	3.88	4.22	-0.34	0.305	0.655	"3783"	"FBgn0034253"	17604951	17639138	"-"	"inside"	606	406	"NearestLocation"	"CG10936"	"uncharacterized protein"
"chr3L"	9476931	9477131	201	"*"	6.5	6.66	6.4	0.26	0.305	0.655	"5762"	"FBgn0011327"	9475493	9476965	"-"	"overlapStart"	34	34	"NearestLocation"	"Uch-L5"	"Ubiquitin carboxy-terminal hydrolase L5"
"chr3R"	5283181	5283381	201	"*"	5.94	6.09	5.84	0.25	0.305	0.655	"7431"	"FBgn0051538"	5275678	5277835	"-"	"upstream"	-5346	5346	"NearestLocation"	"CG31538"	"uncharacterized protein"
"chr3L"	15949797	15949997	201	"*"	5.11	5.3	4.97	0.33	0.305	0.655	"6423"	"FBgn0000489"	15925805	15954797	"-"	"inside"	5000	4800	"NearestLocation"	"Pka-C3"	"Protein kinase, cAMP-dependent, catalytic subunit 3"
"chr2R"	9937842	9938042	201	"*"	6.58	6.82	6.42	0.41	0.305	0.656	"2809"	"FBgn0011656"	9913496	9958858	"-"	"inside"	21016	20816	"NearestLocation"	"Mef2"	"Myocyte enhancer factor 2"
"chr2R"	21178928	21179128	201	"*"	6.4	6.54	6.31	0.22	0.305	0.656	"4160"	"FBgn0034601"	21177754	21178636	"-"	"upstream"	-292	292	"NearestLocation"	"CG4286"	"uncharacterized protein"
"chr3L"	4021336	4021536	201	"*"	5.98	6.11	5.89	0.22	0.305	0.656	"5185"	"FBgn0035483"	4021457	4023501	"+"	"overlapStart"	-121	79	"NearestLocation"	"Mul1"	"Mitochondrial E3 ubiquitin protein ligase 1"
"chr3R"	15896064	15896264	201	"*"	4.38	4.57	4.25	0.31	0.306	0.656	"8551"	"FBgn0038380"	15889194	15896078	"-"	"overlapStart"	14	14	"NearestLocation"	"CG14877"	"uncharacterized protein"
"chr2L"	20638517	20638717	201	"*"	5.93	6.08	5.84	0.23	0.306	0.656	"2061"	"FBgn0262688"	20639015	20639578	"+"	"upstream"	-498	298	"NearestLocation"	NA	NA
"chr3R"	15196431	15196631	201	"*"	7.1	7.22	7.03	0.19	0.306	0.656	"8475"	"FBgn0260659"	15196598	15203074	"+"	"overlapStart"	-167	33	"NearestLocation"	"CG42542"	"uncharacterized protein"
"chr2L"	18677428	18677628	201	"*"	6.18	6.31	6.09	0.22	0.306	0.656	"1874"	"FBgn0086909"	18677221	18683715	"+"	"inside"	207	207	"NearestLocation"	"CG31751"	"uncharacterized protein"
"chr2R"	17020135	17020335	201	"*"	5.32	5.49	5.2	0.29	0.306	0.656	"3703"	"FBgn0263864"	17020027	17026703	"+"	"inside"	108	108	"NearestLocation"	"Dark"	"Death-associated APAF1-related killer"
"chr2R"	7457794	7457994	201	"*"	5.39	5.55	5.29	0.25	0.306	0.656	"2485"	"FBgn0025885"	7454922	7458874	"-"	"inside"	1080	880	"NearestLocation"	"Inos"	"myo-inositol-1-phosphate synthase"
"chr3R"	8122377	8122577	201	"*"	5.58	5.75	5.46	0.29	0.306	0.656	"7698"	"FBgn0037549"	8122725	8125273	"+"	"upstream"	-348	148	"NearestLocation"	"CG7878"	"uncharacterized protein"
"chr2L"	1649903	1650103	201	"*"	5.94	6.09	5.85	0.24	0.306	0.656	"168"	"FBgn0086758"	1651258	1704682	"+"	"upstream"	-1355	1155	"NearestLocation"	"chinmo"	"Chronologically inappropriate morphogenesis"
"chr3L"	17914118	17914318	201	"*"	6.62	6.76	6.54	0.22	0.306	0.656	"6686"	"FBgn0036772"	17909483	17912565	"-"	"upstream"	-1553	1553	"NearestLocation"	"CG5290"	"uncharacterized protein"
"chrX"	10018119	10018319	201	"*"	3.17	2.91	3.3	-0.39	0.306	0.656	"11346"	"FBgn0263132"	10016845	10050803	"+"	"inside"	1274	1274	"NearestLocation"	"Cht6"	"Chitinase 6"
"chrX"	6618846	6619046	201	"*"	5.5	5.68	5.38	0.3	0.306	0.656	"10980"	"FBgn0029880"	6633959	6636169	"+"	"upstream"	-15113	14913	"NearestLocation"	"CG14443"	"uncharacterized protein"
"chr3R"	9868557	9868757	201	"*"	4.21	4.44	4.05	0.39	0.306	0.656	"7895"	"FBgn0037766"	9826081	9868120	"-"	"upstream"	-437	437	"NearestLocation"	"Teh1"	"tipE homolog 1"
"chr2L"	16763552	16763752	201	"*"	6.36	6.6	6.19	0.4	0.306	0.656	"1739"	"FBgn0264695"	16766566	16788766	"+"	"upstream"	-3014	2814	"NearestLocation"	"Mhc"	"Myosin heavy chain"
"chrX"	16361461	16361661	201	"*"	5.55	5.73	5.43	0.3	0.306	0.656	"12015"	"FBgn0004227"	16361569	16371547	"+"	"overlapStart"	-108	92	"NearestLocation"	"nonA"	"no on or off transient A"
"chr2R"	9116318	9116518	201	"*"	5.42	5.59	5.31	0.28	0.306	0.656	"2703"	"FBgn0003612"	9116122	9122000	"+"	"inside"	196	196	"NearestLocation"	"Su(var)2-10"	"Suppressor of variegation 2-10"
"chr2L"	2767758	2767958	201	"*"	6.12	6.27	6.03	0.24	0.307	0.656	"279"	"FBgn0028398"	2767890	2768612	"+"	"overlapStart"	-132	68	"NearestLocation"	"Taf10"	"TBP-associated factor 10"
"chrX"	20661776	20661976	201	"*"	5.41	5.59	5.29	0.3	0.307	0.656	"12473"	"FBgn0031127"	20661917	20669669	"+"	"overlapStart"	-141	59	"NearestLocation"	"CG1835"	"uncharacterized protein"
"chr2R"	7525661	7525861	201	"*"	5.88	6.02	5.79	0.23	0.307	0.656	"2501"	"FBgn0286788"	7522437	7525716	"-"	"overlapStart"	55	55	"NearestLocation"	"Orc1"	"Origin recognition complex subunit 1"
"chr3R"	6476753	6476953	201	"*"	5.14	5.35	5	0.35	0.307	0.656	"7557"	"FBgn0037448"	6478311	6495025	"+"	"upstream"	-1558	1358	"NearestLocation"	"CG15186"	"uncharacterized protein"
"chr3R"	27679095	27679295	201	"*"	5.43	5.61	5.32	0.3	0.307	0.656	"9800"	"FBgn0039538"	27679291	27680336	"+"	"overlapStart"	-196	4	"NearestLocation"	"CG12883"	"uncharacterized protein"
"chr3R"	5054982	5055182	201	"*"	4.95	5.14	4.82	0.31	0.307	0.656	"7398"	"FBgn0267148"	5053181	5053738	"-"	"upstream"	-1244	1244	"NearestLocation"	NA	NA
"chr3L"	7752288	7752488	201	"*"	3.92	4.17	3.75	0.42	0.307	0.657	"5488"	"FBgn0035817"	7754409	7755168	"+"	"upstream"	-2121	1921	"NearestLocation"	"CG7409"	"uncharacterized protein"
"chr2L"	14109192	14109392	201	"*"	5.2	5.38	5.08	0.3	0.307	0.657	"1555"	"FBgn0028526"	14108057	14109447	"-"	"inside"	255	55	"NearestLocation"	"CG15293"	"uncharacterized protein"
"chr2R"	20074379	20074579	201	"*"	4.47	4.68	4.33	0.36	0.307	0.657	"4064"	"FBgn0265843"	20084960	20086695	"+"	"upstream"	-10581	10381	"NearestLocation"	NA	NA
"chr2R"	14049342	14049542	201	"*"	4.02	4.25	3.86	0.39	0.307	0.657	"3353"	"FBgn0033893"	14028620	14029096	"+"	"downstream"	20722	20246	"NearestLocation"	"CG18371"	"uncharacterized protein"
"chrX"	22657061	22657261	201	"*"	6.18	6.44	6	0.44	0.307	0.657	"12553"	"FBgn0266348"	22657324	22797682	"+"	"upstream"	-263	63	"NearestLocation"	NA	NA
"chr3R"	21958024	21958224	201	"*"	4.76	4.95	4.63	0.32	0.307	0.657	"9170"	"FBgn0264490"	21949114	22014539	"+"	"inside"	8910	8910	"NearestLocation"	"Eip93F"	"Ecdysone-induced protein 93F"
"chr2R"	18766855	18767055	201	"*"	5.06	5.26	4.93	0.33	0.307	0.657	"3931"	"FBgn0050229"	18770131	18770212	"+"	"upstream"	-3276	3076	"NearestLocation"	NA	NA
"chr2L"	20835642	20835842	201	"*"	3.83	4.09	3.65	0.44	0.307	0.657	"2093"	"FBgn0032891"	20832849	20835840	"-"	"overlapStart"	198	2	"NearestLocation"	"Oseg5"	"Outer segment 5"
"chr2R"	24881550	24881750	201	"*"	6.39	6.52	6.31	0.21	0.307	0.657	"4625"	"FBgn0085442"	24881570	24888615	"+"	"overlapStart"	-20	20	"NearestLocation"	"NKAIN"	"Na,K-ATPase Interacting"
"chr2R"	10838648	10838848	201	"*"	5.81	5.96	5.71	0.25	0.307	0.657	"2937"	"FBgn0027525"	10836570	10838727	"-"	"overlapStart"	79	79	"NearestLocation"	"LTV1"	"LTV1 ribosome biogenesis factor"
"chrX"	2102301	2102501	201	"*"	5.73	5.89	5.62	0.27	0.308	0.657	"10529"	"FBgn0086043"	2101927	2102025	"+"	"downstream"	374	276	"NearestLocation"	NA	NA
"chrX"	17599467	17599667	201	"*"	6.15	6.28	6.06	0.21	0.308	0.657	"12167"	"FBgn0026313"	17599608	17606879	"+"	"overlapStart"	-141	59	"NearestLocation"	"X11L"	"X11L"
"chr3R"	14435932	14436132	201	"*"	3.69	3.37	3.85	-0.48	0.308	0.657	"8389"	"FBgn0265065"	14421751	14422549	"-"	"upstream"	-13383	13383	"NearestLocation"	NA	NA
"chr3L"	2273601	2273801	201	"*"	3.88	4.07	3.74	0.33	0.308	0.657	"4966"	"FBgn0052303"	2273744	2273815	"+"	"overlapStart"	-143	14	"NearestLocation"	NA	NA
"chr2R"	13897650	13897850	201	"*"	6.88	7.01	6.79	0.22	0.308	0.657	"3316"	"FBgn0033883"	13860349	13862002	"-"	"upstream"	-35648	35648	"NearestLocation"	"CG16935"	"uncharacterized protein"
"chr3R"	27165554	27165754	201	"*"	5.66	5.81	5.56	0.25	0.308	0.657	"9749"	"FBgn0085322"	27164708	27165575	"-"	"overlapStart"	21	21	"NearestLocation"	"CG34293"	"uncharacterized protein"
"chr3L"	19235364	19235564	201	"*"	5.67	5.85	5.55	0.3	0.308	0.657	"6854"	"FBgn0016797"	19140975	19235373	"-"	"overlapStart"	9	9	"NearestLocation"	"fz2"	"frizzled 2"
"chr3R"	26258832	26259032	201	"*"	5.41	5.59	5.3	0.29	0.308	0.657	"9664"	"FBgn0265380"	26260902	26261515	"+"	"upstream"	-2070	1870	"NearestLocation"	NA	NA
"chr3R"	20658889	20659089	201	"*"	4.62	4.81	4.49	0.32	0.308	0.657	"9015"	"FBgn0038818"	20652567	20659904	"-"	"inside"	1015	815	"NearestLocation"	"Nep4"	"Neprilysin 4"
"chr2R"	13846215	13846415	201	"*"	4.3	4.5	4.17	0.33	0.308	0.657	"3309"	"FBgn0050484"	13846393	13849832	"+"	"overlapStart"	-178	22	"NearestLocation"	"CG30484"	"uncharacterized protein"
"chr3L"	9390392	9390592	201	"*"	2.77	2.41	2.94	-0.53	0.308	0.657	"5737"	"FBgn0263493"	9386112	9386463	"+"	"downstream"	4280	3929	"NearestLocation"	NA	NA
"chr3R"	22733110	22733310	201	"*"	4.59	4.4	4.69	-0.29	0.308	0.657	"9267"	"FBgn0039015"	22732356	22733851	"-"	"inside"	741	541	"NearestLocation"	"Takl2"	"Tak1-like 2"
"chr2R"	10769087	10769287	201	"*"	4.55	4.35	4.65	-0.3	0.308	0.657	"2924"	"FBgn0263802"	10760778	10761668	"+"	"downstream"	8309	7419	"NearestLocation"	NA	NA
"chr3R"	24148996	24149196	201	"*"	3.41	3.69	3.21	0.48	0.308	0.657	"9435"	"FBgn0051133"	24147436	24148967	"-"	"upstream"	-29	29	"NearestLocation"	"Slimp"	"Seryl-tRNA synthetase-like insect mitochondrial protein"
"chrX"	3811515	3811715	201	"*"	6.53	6.66	6.45	0.21	0.308	0.657	"10735"	"FBgn0000542"	3811698	3857621	"+"	"overlapStart"	-183	17	"NearestLocation"	"ec"	"echinus"
"chr2R"	20618144	20618344	201	"*"	6.81	6.93	6.74	0.19	0.308	0.657	"4105"	"FBgn0050147"	20606881	20618217	"-"	"overlapStart"	73	73	"NearestLocation"	"Hil"	"Hillarin"
"chr2L"	16523158	16523358	201	"*"	6.7	6.82	6.63	0.19	0.308	0.657	"1696"	"FBgn0263555"	16528375	16528491	"-"	"downstream"	5333	5017	"NearestLocation"	NA	NA
"chr3L"	2090007	2090207	201	"*"	6.16	6.38	6	0.38	0.308	0.657	"4944"	"FBgn0262107"	2088166	2089626	"+"	"downstream"	1841	381	"NearestLocation"	NA	NA
"chr3R"	20891513	20891713	201	"*"	7.22	7.33	7.15	0.18	0.309	0.657	"9038"	"FBgn0051333"	20891658	20891729	"+"	"overlapStart"	-145	16	"NearestLocation"	NA	NA
"chr2R"	9745371	9745571	201	"*"	6.32	6.55	6.15	0.4	0.309	0.658	"2779"	"FBgn0259678"	9716348	9748121	"-"	"inside"	2750	2550	"NearestLocation"	"sqa"	"spaghetti-squash activator"
"chr3L"	18141135	18141335	201	"*"	5.27	5.11	5.36	-0.25	0.309	0.658	"6742"	"FBgn0020300"	18139402	18145418	"+"	"inside"	1733	1733	"NearestLocation"	"geko"	"geko"
"chrX"	20165879	20166079	201	"*"	5.29	5.48	5.16	0.32	0.309	0.658	"12440"	"FBgn0031091"	20160355	20165830	"-"	"upstream"	-49	49	"NearestLocation"	"Phf7"	"PHD finger protein 7"
"chr2L"	2217207	2217407	201	"*"	6.19	6.32	6.1	0.22	0.309	0.658	"235"	"FBgn0040715"	2216503	2217246	"-"	"overlapStart"	39	39	"NearestLocation"	"CG15386"	"uncharacterized protein"
"chr2L"	2217207	2217407	201	"*"	6.19	6.32	6.1	0.22	0.309	0.658	"235"	"FBgn0259717"	2216503	2217246	"-"	"overlapStart"	39	39	"NearestLocation"	"CG42371"	"uncharacterized protein"
"chrX"	7411963	7412163	201	"*"	3.84	4.03	3.71	0.32	0.309	0.658	"11073"	"FBgn0259098"	7411267	7411906	"-"	"upstream"	-57	57	"NearestLocation"	"CG42246"	"uncharacterized protein"
"chrX"	16778371	16778571	201	"*"	5.44	5.6	5.34	0.26	0.309	0.658	"12063"	"FBgn0001250"	16752189	16783434	"-"	"inside"	5063	4863	"NearestLocation"	"if"	"inflated"
"chrX"	11556982	11557182	201	"*"	5.94	6.18	5.77	0.42	0.309	0.658	"11520"	"FBgn0030309"	11555050	11558654	"-"	"inside"	1672	1472	"NearestLocation"	"CG1572"	"uncharacterized protein"
"chr3R"	16247235	16247435	201	"*"	6.1	6.23	6.01	0.21	0.309	0.658	"8596"	"FBgn0040237"	16261355	16264115	"-"	"downstream"	16880	13920	"NearestLocation"	"bor"	"belphegor"
"chrX"	17133460	17133660	201	"*"	5	5.21	4.86	0.35	0.309	0.658	"12109"	"FBgn0002709"	17135985	17142990	"-"	"downstream"	9530	2325	"NearestLocation"	"mei-218"	"meiotic 218"
"chr3L"	22401540	22401740	201	"*"	4.6	4.79	4.48	0.31	0.31	0.658	"7189"	"FBgn0267624"	22348168	22407547	"-"	"inside"	6007	5807	"NearestLocation"	NA	NA
"chr3R"	9563654	9563854	201	"*"	5.82	5.99	5.71	0.28	0.31	0.658	"7856"	"FBgn0037710"	9561583	9563673	"-"	"overlapStart"	19	19	"NearestLocation"	"CG9393"	"uncharacterized protein"
"chr3R"	14575424	14575624	201	"*"	5.85	6.02	5.74	0.28	0.31	0.658	"8404"	"FBgn0038244"	14570472	14575887	"-"	"inside"	463	263	"NearestLocation"	"CG7987"	"uncharacterized protein"
"chr2L"	10399631	10399831	201	"*"	4.67	4.49	4.77	-0.28	0.31	0.658	"1185"	"FBgn0051716"	10396716	10403206	"+"	"inside"	2915	2915	"NearestLocation"	"Cnot4"	"CCR4-NOT transcription complex subunit 4"
"chr2L"	19764447	19764647	201	"*"	6.67	6.79	6.6	0.19	0.31	0.659	"1997"	"FBgn0032820"	19761587	19764136	"-"	"upstream"	-311	311	"NearestLocation"	"fbp"	"fructose-1,6-bisphosphatase"
"chr3R"	10778133	10778333	201	"*"	4.98	5.18	4.85	0.33	0.31	0.659	"8010"	"FBgn0266446"	10768001	10777374	"-"	"upstream"	-759	759	"NearestLocation"	"CG45076"	"uncharacterized protein"
"chr3R"	10778133	10778333	201	"*"	4.98	5.18	4.85	0.33	0.31	0.659	"8010"	"FBgn0266448"	10773339	10777374	"-"	"upstream"	-759	759	"NearestLocation"	"CG45078"	"uncharacterized protein"
"chr3R"	10778133	10778333	201	"*"	4.98	5.18	4.85	0.33	0.31	0.659	"8010"	"FBgn0266451"	10773197	10777374	"-"	"upstream"	-759	759	"NearestLocation"	"fau"	"fau"
"chr3L"	21412410	21412610	201	"*"	4.09	4.31	3.94	0.37	0.31	0.659	"7093"	"FBgn0267616"	21413303	21413643	"+"	"upstream"	-893	693	"NearestLocation"	NA	NA
"chr2L"	10263466	10263666	201	"*"	5.03	5.23	4.9	0.33	0.311	0.66	"1154"	"FBgn0011305"	10261795	10263554	"-"	"overlapStart"	88	88	"NearestLocation"	"Rsf1"	"Repressor splicing factor 1"
"chr2R"	5760546	5760746	201	"*"	4.48	4.7	4.32	0.38	0.311	0.66	"2294"	"FBgn0266580"	5760862	5774324	"+"	"upstream"	-316	116	"NearestLocation"	"Gp210"	"Glycoprotein 210 kDa"
"chr3R"	5592236	5592436	201	"*"	5.93	6.07	5.84	0.22	0.311	0.66	"7479"	"FBgn0283535"	5591763	5595356	"+"	"inside"	473	473	"NearestLocation"	"Vha26"	"Vacuolar H[+]-ATPase 26kD subunit"
"chr3L"	18026016	18026216	201	"*"	4.66	4.83	4.55	0.28	0.311	0.66	"6719"	"FBgn0267582"	18037723	18038280	"-"	"downstream"	12264	11507	"NearestLocation"	NA	NA
"chr3L"	15554198	15554398	201	"*"	6.43	6.56	6.35	0.21	0.311	0.66	"6386"	"FBgn0087035"	15554113	15561042	"+"	"inside"	85	85	"NearestLocation"	"AGO2"	"Argonaute 2"
"chrX"	5964479	5964679	201	"*"	4.81	5	4.69	0.31	0.311	0.66	"10901"	"FBgn0005390"	5958207	5964247	"-"	"upstream"	-232	232	"NearestLocation"	"fs(1)M3"	"female sterile (1) M3"
